Time: 94406, Price: -nan, 
Time: 94408, Price: -nan, 
Time: 94409, Price: -nan, 
Time: 94411, Price: -nan, 
Time: 94412, Price: 381.58, 
Time: 94413, Price: -nan, 
Time: 94415, Price: 381.50, 
Time: 94416, Price: 381.50, 
Time: 94418, Price: 381.50, 
Time: 94419, Price: 381.49, 
Time: 94420, Price: 381.42, 
Time: 94421, Price: 381.40, 
Time: 94422, Price: 381.41, 
Time: 94423, Price: 381.40, 
Time: 94424, Price: 381.48, 
Time: 94427, Price: 381.39, 
Time: 94428, Price: 381.51, 
Time: 94429, Price: 381.52, 
Time: 94430, Price: 381.54, 
Time: 94431, Price: 381.62, 
Time: 94433, Price: -nan, 
Time: 94434, Price: 381.68, 
Time: 94435, Price: 381.63, 
Time: 94436, Price: 381.61, 
Time: 94437, Price: -nan, 
Time: 94439, Price: 381.65, 
Time: 94440, Price: 381.68, 
Time: 94441, Price: 381.73, 
Time: 94442, Price: 381.70, 
Time: 94444, Price: 381.75, 
Time: 94445, Price: -nan, 
Time: 94446, Price: -nan, 
Time: 94447, Price: 381.80, 
Time: 94448, Price: 381.87, 
Time: 94450, Price: -nan, 
Time: 94451, Price: 381.86, 
Time: 94452, Price: 381.93, 
Time: 94453, Price: 382.02, 
Time: 94454, Price: 382.00, 
Time: 94458, Price: 382.02, 
Time: 94459, Price: 382.06, 
Time: 94500, Price: 382.08, 
Time: 94502, Price: 382.09, 
Time: 94503, Price: 382.04, 
Time: 94504, Price: 382.07, 
Time: 94505, Price: -nan, 
Time: 94506, Price: -nan, 
Time: 94511, Price: -nan, 
Time: 94512, Price: -nan, 
Time: 94513, Price: -nan, 
Time: 94514, Price: 381.99, 
Time: 94516, Price: 381.94, 
Time: 94517, Price: 381.96, 
Time: 94518, Price: 381.93, 
Time: 94519, Price: 382.07, 
Time: 94521, Price: 382.02, 
Time: 94522, Price: 382.00, 
Time: 94525, Price: 381.90, 
Time: 94526, Price: 381.85, 
Time: 94527, Price: 381.87, 
Time: 94528, Price: -nan, 
Time: 94529, Price: 381.81, 
Time: 94531, Price: 381.92, 
