TimeStep: 93333, m: 381.97, v: 0.24, y: 1.50, k: 30.37 
TimeStep: 93334, m: 381.98, v: 0.41, y: -0.29, k: 18.63 
TimeStep: 93335, m: 381.89, v: 0.05, y: -7.97, k: 101.20 
TimeStep: 93336, m: 381.81, v: 0.11, y: -4.94, k: 60.73 
TimeStep: 93337, m: 381.89, v: 0.12, y: 7.72, k: 67.34 
TimeStep: 93338, m: 382.01, v: 0.17, y: 6.03, k: 42.92 
TimeStep: 93339, m: 381.98, v: 0.18, y: 5.91, k: 41.92 
TimeStep: 93340, m: 381.88, v: 0.16, y: -5.74, k: 38.93 
TimeStep: 93341, m: 382.07, v: 0.01, y: -0.63, k: 1.40 
TimeStep: 93342, m: 382.06, v: 0.16, y: 3.37, k: 47.77 
TimeStep: 93343, m: 381.93, v: 0.06, y: -8.45, k: 94.58 
TimeStep: 93344, m: 381.93, v: 0.07, y: -6.75, k: 71.23 
TimeStep: 93345, m: 381.86, v: 0.07, y: -7.70, k: 81.67 
TimeStep: 93346, m: 381.84, v: 0.13, y: -6.44, k: 48.46 
TimeStep: 93347, m: 381.83, v: 0.09, y: -6.56, k: 57.76 
TimeStep: 93348, m: 381.80, v: 0.03, y: -9.65, k: 141.37 
TimeStep: 93349, m: 381.85, v: 0.04, y: -8.85, k: 127.18 
TimeStep: 93350, m: 381.79, v: 0.11, y: -3.54, k: 64.28 
TimeStep: 93351, m: 381.79, v: 0.01, y: 1.97, k: 14.95 
TimeStep: 93352, m: 381.81, v: 0.34, y: 1.33, k: 25.10 
TimeStep: 93353, m: 381.86, v: 0.26, y: 3.62, k: 32.83 
TimeStep: 93354, m: 381.90, v: 0.38, y: 1.28, k: 21.54 
TimeStep: 93355, m: 381.83, v: 0.15, y: 1.71, k: 51.01 
TimeStep: 93356, m: 381.80, v: 0.01, y: 2.15, k: 10.71 
TimeStep: 93357, m: 381.84, v: 0.15, y: 3.75, k: 54.43 
TimeStep: 93358, m: 381.36, v: 51.82, y: -9.62, k: 102.83 
TimeStep: 93359, m: 381.75, v: 0.23, y: -2.19, k: 28.86 
TimeStep: 93400, m: 381.75, v: 0.24, y: -1.04, k: 29.74 
TimeStep: 93401, m: 381.85, v: 0.16, y: 0.24, k: 46.58 
TimeStep: 93402, m: 381.88, v: 0.06, y: -8.41, k: 95.41 
TimeStep: 93403, m: 381.84, v: 0.07, y: -7.78, k: 78.76 
TimeStep: 93404, m: 381.80, v: 0.01, y: 0.69, k: 3.46 
TimeStep: 93405, m: 381.85, v: 0.03, y: 0.01, k: 2.32 
TimeStep: 93406, m: 381.86, v: 0.01, y: 1.45, k: 3.38 
TimeStep: 93407, m: 381.78, v: 0.06, y: -8.29, k: 87.60 
TimeStep: 93408, m: 381.80, v: 0.05, y: -0.59, k: 126.92 
TimeStep: 93409, m: 381.82, v: 0.32, y: 1.86, k: 26.79 
TimeStep: 93410, m: 381.76, v: 0.02, y: -14.64, k: 260.64 
TimeStep: 93411, m: 381.74, v: 0.03, y: 2.98, k: 213.42 
TimeStep: 93412, m: 381.73, v: 0.16, y: 2.46, k: 53.01 
TimeStep: 93413, m: 381.70, v: 0.14, y: 6.11, k: 57.99 
TimeStep: 93414, m: 381.69, v: 0.13, y: 1.12, k: 50.90 
TimeStep: 93415, m: 381.59, v: 0.07, y: -4.39, k: 32.33 
TimeStep: 93416, m: 381.50, v: 0.10, y: -3.30, k: 67.91 
TimeStep: 93417, m: 381.26, v: 0.21, y: -5.07, k: 30.58 
TimeStep: 93418, m: 381.30, v: 0.42, y: -1.85, k: 17.30 
TimeStep: 93419, m: 381.17, v: 0.32, y: -4.21, k: 20.21 
TimeStep: 93420, m: 381.04, v: 0.16, y: -3.57, k: 27.20 
TimeStep: 93421, m: 380.83, v: 12.26, y: -21.07, k: 451.28 
TimeStep: 93422, m: 380.70, v: 30.61, y: -13.38, k: 181.39 
TimeStep: 93423, m: 379.08, v: 149.00, y: -5.84, k: 35.19 
TimeStep: 93424, m: 380.25, v: 2.05, y: -0.53, k: 1.33 
TimeStep: 93425, m: 376.54, v: 327.08, y: -3.68, k: 14.53 
TimeStep: 93427, m: 381.17, v: 0.08, y: 2.38, k: 8.82 
TimeStep: 93428, m: 373.47, v: 2193.89, y: -7.40, k: 58.70 
TimeStep: 93429, m: 381.01, v: 0.03, y: -2.52, k: 62.38 
TimeStep: 93430, m: 380.88, v: 0.71, y: 1.02, k: 9.27 
TimeStep: 93431, m: 380.94, v: 0.25, y: 0.24, k: 25.23 
TimeStep: 93432, m: 380.48, v: 38.65, y: -11.83, k: 142.16 
TimeStep: 93433, m: 380.97, v: 0.05, y: -6.69, k: 87.14 
TimeStep: 93434, m: 380.94, v: 0.01, y: 0.15, k: 1.03 
TimeStep: 93435, m: 380.99, v: 0.03, y: 3.43, k: 22.30 
TimeStep: 93436, m: 381.13, v: 0.24, y: 0.07, k: 7.69 
TimeStep: 93437, m: 381.12, v: 0.18, y: 1.22, k: 4.02 
TimeStep: 93438, m: 381.16, v: 0.14, y: 1.10, k: 4.56 
TimeStep: 93439, m: 381.21, v: 0.34, y: 0.48, k: 12.04 
TimeStep: 93440, m: 381.13, v: 0.26, y: -4.06, k: 22.16 
TimeStep: 93441, m: 381.12, v: 0.10, y: -6.47, k: 51.88 
TimeStep: 93442, m: 380.99, v: 0.13, y: -2.77, k: 33.10 
TimeStep: 93443, m: 380.96, v: 0.47, y: -2.69, k: 11.04 
TimeStep: 93444, m: 381.02, v: 0.04, y: 2.09, k: 13.47 
TimeStep: 93445, m: 381.03, v: 0.02, y: 1.24, k: 14.47 
TimeStep: 93446, m: 380.99, v: 0.12, y: -4.39, k: 35.27 
TimeStep: 93447, m: 380.91, v: 0.02, y: 1.30, k: 4.42 
TimeStep: 93448, m: 380.96, v: 0.00, y: -1.17, k: 3.55 
TimeStep: 93449, m: 380.94, v: 0.03, y: 4.30, k: 32.05 
TimeStep: 93450, m: 380.96, v: 0.00, y: -1.42, k: 4.31 
TimeStep: 93451, m: 380.91, v: 0.01, y: -0.34, k: 1.93 
TimeStep: 93452, m: 381.01, v: 0.06, y: -5.43, k: 70.50 
TimeStep: 93453, m: 381.00, v: 0.05, y: -5.99, k: 88.35 
TimeStep: 93454, m: 381.03, v: 0.13, y: -4.21, k: 36.75 
TimeStep: 93455, m: 381.01, v: 0.02, y: -4.15, k: 29.72 
TimeStep: 93456, m: 380.93, v: 0.39, y: -2.81, k: 13.23 
TimeStep: 93457, m: 381.05, v: 0.04, y: 3.86, k: 22.89 
TimeStep: 93458, m: 381.05, v: 0.07, y: 3.01, k: 12.55 
TimeStep: 93459, m: 381.13, v: 0.11, y: -1.93, k: 50.99 
TimeStep: 93500, m: 381.08, v: 0.20, y: -1.21, k: 36.18 
TimeStep: 93501, m: 381.04, v: 0.24, y: 0.23, k: 29.13 
TimeStep: 93502, m: 380.95, v: 21.67, y: -14.78, k: 242.36 
TimeStep: 93503, m: 380.70, v: 1.06, y: -1.74, k: 4.12 
TimeStep: 93504, m: 380.63, v: 1.67, y: -0.52, k: 3.38 
TimeStep: 93505, m: 381.09, v: 0.12, y: -7.02, k: 54.86 
TimeStep: 93506, m: 381.10, v: 0.07, y: -2.31, k: 101.35 
TimeStep: 93507, m: 381.02, v: 0.12, y: -6.85, k: 50.75 
TimeStep: 93508, m: 380.82, v: 0.98, y: -0.58, k: 7.12 
TimeStep: 93509, m: 380.95, v: 0.12, y: -5.14, k: 39.57 
TimeStep: 93510, m: 380.98, v: 0.01, y: 1.01, k: 4.55 
TimeStep: 93512, m: 380.82, v: 0.34, y: -3.74, k: 15.52 
TimeStep: 93513, m: 381.02, v: 0.16, y: 1.62, k: 48.52 
TimeStep: 93514, m: 380.93, v: 0.29, y: -4.24, k: 19.78 
TimeStep: 93515, m: 380.93, v: 0.28, y: -4.30, k: 20.36 
TimeStep: 93516, m: 381.02, v: 0.22, y: -2.80, k: 31.74 
TimeStep: 93517, m: 381.05, v: 0.20, y: 1.23, k: 37.58 
TimeStep: 93518, m: 381.02, v: 0.01, y: 0.89, k: 2.44 
TimeStep: 93519, m: 380.97, v: 0.01, y: 2.40, k: 6.75 
TimeStep: 93520, m: 381.04, v: 0.01, y: 1.10, k: 2.55 
TimeStep: 93521, m: 381.03, v: 0.01, y: 0.32, k: 2.00 
TimeStep: 93522, m: 380.96, v: 0.80, y: -0.12, k: 9.55 
TimeStep: 93523, m: 380.98, v: 0.60, y: -0.23, k: 12.72 
TimeStep: 93524, m: 380.93, v: 0.88, y: -0.32, k: 8.44 
TimeStep: 93525, m: 381.00, v: 0.01, y: -0.29, k: 2.78 
TimeStep: 93526, m: 380.55, v: 1.18, y: -1.47, k: 3.21 
TimeStep: 93527, m: 380.99, v: 0.55, y: -0.25, k: 14.02 
